YEAR; MONTH; DAY; HOUR; MIN; SEC; LONGITUDE; LATITUDE; DEPTH; EXP(Nm); M0; MAG; Mrr; Mtt; Mpp; Mrt; Mtp; Mpr; Str1; Dip1; Rake1; Str2; Dip2; Rake2
2016; 8;14;16;28;57.60; 179.5600;  51.4400; 66.9;17;3.561;5.6;-1.900;-0.717; 2.620; 2.060;-1.720; 0.003; 190.00;49.00; -33.00; 303.00;66.00;-134.00
2016; 8;14;17;16;18.43; 142.5998;  38.9348; 42.2;15;1.010;3.9; 0.974;-0.649;-0.325; 0.255;-0.453;-0.057;  65.00;51.00; 103.00; 225.00;41.00;  74.00
2016; 8;14;18;49;16.81; 141.4373;  37.5162; 49.4;15;5.920;4.4; 3.260;-0.628;-2.632; 2.410;-1.171; 4.354;  28.00;74.00;  92.00; 201.00;17.00;  83.00
2016; 8;14;19;51; 6.09; 143.0195;  42.3067; 50.8;14;4.980;3.7; 3.766;-0.953;-2.813; 1.352;-1.511; 3.030;  26.00;66.00;  87.00; 212.00;24.00;  96.00
2016; 8;14;22;43;16.40; 173.0000; -22.7400; 24.0;16;2.143;4.8;-0.814;-0.542; 1.360; 1.160; 1.330;-0.298; 245.00;68.00; -35.00; 350.00;58.00;-153.00
2016; 8;15; 4;36;47.56; 131.9135;  33.4868; 70.7;15;7.480;4.5;-0.464;-4.600; 5.064; 1.580;-0.751; 5.892; 213.00;89.00; -51.00; 304.00;39.00;-178.00
2016; 8;15; 5;28;13.60; 126.0700;   5.7800; 93.6;16;3.448;5.0;-1.810; 0.218; 1.590; 0.423;-1.580;-2.540; 120.00;26.00;-134.00; 347.00;71.00; -71.00
2016; 8;15; 7; 4;40.22; 141.7498;  37.3795; 46.9;17;1.730;5.4; 0.393; 0.457;-0.850;-0.273;-0.566; 1.450; 242.00;28.00; 162.00; 348.00;82.00;  64.00
2016; 8;15; 7; 4;41.60; 141.7219;  37.4312; 31.0;17;1.190;5.3; 0.139; 0.157;-0.296;-0.027;-0.202; 1.145; 242.21;11.69; 154.10; 357.64;84.92;  79.45
2016; 8;15; 7; 4;44.00; 141.7300;  37.3700; 39.4;17;2.023;5.5; 0.540; 0.308;-0.840;-0.226;-0.647; 1.760; 242.00;24.00; 156.00; 354.00;81.00;  68.00
2016; 8;15; 8;23;11.10; 142.2800;  50.5500; 14.6;16;2.885;4.9; 2.730;-0.576;-2.150;-0.409; 0.629;-1.330; 175.00;58.00; 104.00; 330.00;34.00;  69.00
2016; 8;15;11;32; 0.70; 122.1580;  10.8711; 26.0;16;9.430;5.2;-5.669; 1.908; 3.761;-3.987; 3.670;-5.887;  34.81;69.61; -92.53; 222.02;20.54; -83.24
2016; 8;15;11;32; 1.60; 122.1400;  10.8800; 28.0;17;1.390;5.4;-0.753; 0.470; 0.280;-0.823; 0.415;-0.807;  46.00;73.00; -93.00; 237.00;17.00; -80.00
2016; 8;15;15;28; 1.74; 143.2015;  45.6430;  5.7;15;2.800;4.2; 2.579;-2.664; 0.085; 0.982;-0.029;-0.165;  93.00;55.00;  94.00; 266.00;35.00;  84.00
2016; 8;15;18; 1; 1.30; 172.8800; -22.4300; 14.1;16;5.633;5.1;-4.630;-1.190; 5.830; 0.571; 1.220; 1.710;   5.00;36.00; -97.00; 194.00;54.00; -85.00
2016; 8;16;15;24; 9.88; 141.3775;  40.4435; 89.6;14;8.380;3.9;-0.645; 7.066;-6.421; 2.335;-1.739;-4.005;  54.00;57.00;-174.00; 321.00;85.00; -33.00
2016; 8;16;16;13;25.10; 162.9800; -11.1700; 17.6;16;2.407;4.9; 2.050;-2.240; 0.180; 0.742; 0.322; 0.716;  78.00;57.00;  67.00; 296.00;40.00; 121.00
2016; 8;16;19;22;24.84; 125.5570;  25.8518; 23.7;15;7.610;4.5;-4.644; 5.166;-0.522; 4.651; 0.958; 3.331; 100.00;25.00; -54.00; 241.00;70.00;-105.00
2016; 8;16;20; 1; 6.10; 140.6680;  36.9432;  6.6;14;6.100;3.8;-5.790; 3.570; 2.219;-1.978;-1.449; 2.678; 133.00;61.00; -83.00; 298.00;30.00;-103.00
2016; 8;16;21;33;41.80;  70.7400; -26.0400; 16.3;16;3.202;4.9;-2.800; 1.380; 1.420;-0.582;-0.834; 1.930; 151.00;64.00; -80.00; 309.00;28.00;-110.00
2016; 8;16;23;58; 0.60; 145.9900;  18.4100;189.5;16;4.205;5.0; 3.390;-0.449;-2.940;-2.170; 1.570; 0.646; 174.00;37.00; 126.00; 312.00;61.00;  66.00
2016; 8;17; 2;56;15.87; 141.7213;  37.3720; 45.2;15;3.640;4.3; 0.021; 0.828;-0.849;-1.053;-0.945; 3.248; 250.00;20.00; 179.00; 341.00;90.00;  70.00
2016; 8;17;14; 3;19.80; 142.3300;  50.5000; 13.3;16;1.661;4.7; 1.460;-0.382;-1.080;-0.780; 0.547;-0.594; 176.00;54.00; 122.00; 309.00;47.00;  54.00
2016; 8;17;15;11;56.40; 149.5300;  -4.7300;560.1;17;1.431;5.4;-0.794;-0.329; 1.120; 0.482; 0.658;-0.624; 234.00;47.00; -34.00; 349.00;66.00;-132.00
2016; 8;17;22;14;17.90; 173.4700; -15.9400; 12.0;16;4.351;5.0;-4.080; 1.370; 2.710;-1.340;-1.900; 0.778; 136.00;55.00;-100.00; 333.00;36.00; -77.00
2016; 8;17;22;26;21.70; 173.4300; -15.8900; 14.6;16;6.057;5.1;-5.830; 2.110; 3.720;-0.293;-2.630; 1.900; 152.00;54.00; -81.00; 316.00;37.00;-103.00
2016; 8;18; 3;29;50.20; 172.7700; -22.2800; 18.6;16;5.926;5.1;-1.750; 1.050; 0.700;-0.072; 5.780; 1.130;  90.00;76.00;  -7.00; 182.00;83.00;-166.00
2016; 8;18; 4; 7;50.70; 162.0900; -11.2300; 18.4;16;3.216;4.9; 2.330;-2.810; 0.480; 1.750; 0.654;-0.576; 106.00;63.00;  96.00; 274.00;28.00;  79.00
2016; 8;18; 4;30;10.80; 148.7900; -19.7600; 12.0;17;4.480;5.7;-0.189;-0.453; 0.640; 0.943; 4.340; 0.276;  87.00;88.00;  12.00; 356.00;78.00; 178.00
2016; 8;18; 7;32;34.90;   6.5600;  73.3100; 13.6;16;1.589;4.7;-1.560; 0.619; 0.930; 0.237; 0.642;-0.504;  23.00;52.00;-109.00; 232.00;42.00; -67.00
2016; 8;18; 7;54; 5.20; 149.9100;  -6.5000; 35.7;17;1.153;5.3; 0.998;-1.120; 0.120; 0.453;-0.028;-0.049;  92.00;57.00;  94.00; 265.00;34.00;  84.00
2016; 8;18;11;19;15.80; 128.2373;  -7.3875;148.0;17;1.600;5.4; 1.259;-1.381; 0.122; 0.123; 0.865; 0.178; 100.16;47.61;  69.59; 309.05;46.20; 110.91
