YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 8;25; 3;49;50.00;-179.5107; -22.0087;595.5;mb   ;4.4;SOUTH OF FIJI ISLANDS
2017; 8;25; 3; 3;33.00; -62.3534;  37.9828; 10.0;mb   ;4.4;NORTH ATLANTIC OCEAN
2017; 8;25; 0;43;45.00; -79.3780;   9.5655; 43.6;mb   ;4.1;PANAMA
2017; 8;24;17;22;47.00; -68.8711; -23.7936;108.6;ML   ;4.3;NORTHERN CHILE
2017; 8;24;17;18;53.00; 141.6287;  37.4931; 37.8;mb   ;4.6;NEAR EAST COAST OF HONSHU, JAPAN
2017; 8;24;16;42;52.00; -92.8212;  14.4460; 90.1;mb   ;4.1;NEAR COAST OF CHIAPAS, MEXICO
2017; 8;24;16;18;32.00; -93.0498;  14.2240;  2.2;mb   ;4.4;NEAR COAST OF CHIAPAS, MEXICO
2017; 8;24;15;32;21.00; 169.2378;  54.2290; 17.8;mb   ;4.6;KOMANDORSKIYE OSTROVA REGION
2017; 8;24; 8;19;24.00; 128.4880;  -7.8579;116.0;mb   ;4.2;BANDA SEA
2017; 8;24; 8; 7; 4.00; 169.2710;  54.1835; 20.4;mb   ;4.9;KOMANDORSKIYE OSTROVA REGION
2017; 8;24; 5;34;38.00; 130.6027;  31.3708; 10.0;mb   ;4.6;KYUSHU, JAPAN
2017; 8;24; 5; 9;58.00; -93.2074;  14.5388; 35.0;mb   ;4.1;NEAR COAST OF CHIAPAS, MEXICO
2017; 8;23;22; 0;50.00;-109.3330;  19.6009; 10.0;mb   ;4.6;REVILLA GIGEDO ISLANDS REGION
2017; 8;23;21;51;10.00; -66.7659; -23.3426;212.5;mb   ;4.1;JUJUY PROVINCE, ARGENTINA
2017; 8;23;20;58;44.00;  74.5969;  35.4129; 46.4;mb   ;4.6;NORTHWESTERN KASHMIR
2017; 8;23;20; 5;26.00; -82.6336;   5.6505; 10.0;mb   ;4.4;SOUTH OF PANAMA
2017; 8;23;17;43;58.00; 123.7728;   6.4311; 44.9;mb   ;4.2;MINDANAO, PHILIPPINES
2017; 8;23;17;21;17.00;  94.6199;  22.4013;105.3;mb   ;4.0;MYANMAR
2017; 8;23;16;39;46.00; 166.4255; -11.3725; 65.6;mb   ;4.4;SANTA CRUZ ISLANDS
2017; 8;23;16;17;17.00;-179.8927; -23.9106;525.1;mb   ;4.2;SOUTH OF FIJI ISLANDS
2017; 8;23;15;13;48.00;-178.6376; -17.7425;550.1;mb   ;4.1;FIJI ISLANDS REGION
2017; 8;23;13;42;53.00;  44.9970;  36.1954;  8.0;Mww  ;5.1;IRAN-IRAQ BORDER REGION
2017; 8;23;12; 7;26.00;-178.6555; -35.6092; 10.0;mb   ;4.6;EAST OF NORTH ISLAND, N.Z.
